"proj_no","start_date","end_date","location","service","days_taken","price","team"
299,2021-04-06,2021-07-30,"IND","Growth Driven Web Design and Development",115,961000,"Team B"
300,2021-04-08,2021-06-11,"IND","App Development",64,951000,"Team C"
301,2021-04-12,2021-05-11,"CAN","Digital Transformation Service",29,947000,"Team E"
302,2021-04-13,2021-04-22,"IND","Digital Strategy and Consultation",9,419000,"Team E"
303,2021-04-15,2021-05-02,"IND","Digital Transformation Service",17,286000,"Team E"
304,2021-04-19,2021-06-02,"IND","Growth Driven Web Design and Development",44,432000,"Team A"
305,2021-04-20,2021-07-25,"CAN","Growth Driven Web Design and Development",96,821000,"Team C"
306,2021-04-23,2021-05-15,"CAN","Digital Transformation Service",22,550000,"Team E"
307,2021-04-26,2021-08-01,"IND","Growth Driven Web Design and Development",97,830000,"Team B"
308,2021-04-27,2021-07-12,"CAN","App Development",76,1142000,"Team D"
309,2021-04-30,2021-05-08,"CAN","Digital Strategy and Consultation",8,332000,"Team C"
310,2021-05-03,2021-05-09,"IND","Digital Strategy and Consultation",6,139000,"Team E"
311,2021-05-05,2021-05-28,"CAN","Digital Transformation Service",23,582000,"Team A"
312,2021-05-07,2021-05-15,"CAN","Digital Strategy and Consultation",8,287000,"Team E"
313,2021-05-10,2021-05-28,"IND","Digital Transformation Service",18,295000,"Team E"
314,2021-05-12,2021-05-21,"CAN","Digital Strategy and Consultation",9,371000,"Team C"
315,2021-05-14,2021-07-07,"IND","Growth Driven Web Design and Development",54,503000,"Team B"
316,2021-05-17,2021-07-01,"IND","Growth Driven Web Design and Development",45,437000,"Team A"
317,2021-05-19,2021-06-16,"IND","Digital Transformation Service",28,892000,"Team A"
318,2021-05-21,2021-07-19,"IND","Growth Driven Web Design and Development",59,542000,"Team A"
319,2021-05-24,2021-06-12,"CAN","Digital Transformation Service",19,349000,"Team E"
320,2021-05-26,2021-06-17,"IND","Digital Transformation Service",22,563000,"Team E"
321,2021-05-28,2021-06-16,"IND","App Development",19,258000,"Team C"
322,2021-05-31,2021-06-08,"IND","Digital Strategy and Consultation",8,337000,"Team C"
323,2021-06-02,2021-06-09,"IND","Digital Strategy and Consultation",7,249000,"Team E"
324,2021-06-05,2021-07-18,"IND","App Development",43,626000,"Team D"
325,2021-06-07,2021-06-22,"IND","Digital Transformation Service",15,165000,"Team A"
326,2021-06-09,2021-07-06,"IND","App Development",27,387000,"Team C"
327,2021-06-12,2021-06-28,"IND","Digital Transformation Service",16,183000,"Team A"
